Data;Retornos
14/11/2016;0,00924
15/11/2016;0,040215
16/11/2016;-0,003722
17/11/2016;0,012705
18/11/2016;0,001244
19/11/2016;-0,026255
20/11/2016;0,010487
21/11/2016;0,017705
22/11/2016;-0,011098
23/11/2016;-0,007803
24/11/2016;0,006885
25/11/2016;-0,008477
26/11/2016;-0,00645
27/11/2016;0,005305
28/11/2016;-0,00101
29/11/2016;0,013464
30/11/2016;0,013564
01/12/2016;0,024037
02/12/2016;-0,008729
03/12/2016;0,002809
04/12/2016;-0,015848
05/12/2016;0,005117
06/12/2016;0,009647
07/12/2016;0,00382
08/12/2016;0,002586
09/12/2016;0,004558
10/12/2016;-0,007899
11/12/2016;0,013658
12/12/2016;0,000347
13/12/2016;-0,002881
14/12/2016;-0,001663
15/12/2016;0,008785
16/12/2016;0,006526
17/12/2016;0,002335
18/12/2016;0,000988
19/12/2016;0,011719
20/12/2016;0,036987
21/12/2016;0,036633
22/12/2016;0,064186
23/12/2016;-0,02887
24/12/2016;0
25/12/2016;0,00817
26/12/2016;0,030044
27/12/2016;0,048894
28/12/2016;-0,001122
29/12/2016;-0,012476
30/12/2016;0,004515
31/12/2016;0,032737
01/01/2017;0,021477
02/01/2017;0,015851
03/01/2017;0,094236
04/01/2017;-0,137701
05/01/2017;-0,110151
06/01/2017;0,003053
07/01/2017;0,013399
08/01/2017;-0,0012
09/01/2017;0,005088
10/01/2017;-0,141007
11/01/2017;0,030939
12/01/2017;0,018007
13/01/2017;-0,006324
14/01/2017;0,001877
15/01/2017;0,007486
16/01/2017;0,083801
17/01/2017;-0,031193
18/01/2017;0,026234
19/01/2017;-0,002573
20/01/2017;0,029714
21/01/2017;-0,001088
22/01/2017;0,002847
23/01/2017;-0,030533
24/01/2017;0,000738
25/01/2017;0,023372
26/01/2017;0,002672
27/01/2017;0,000545
28/01/2017;-0,004321
29/01/2017;0,006735
30/01/2017;0,047469
31/01/2017;0,017393
01/02/2017;0,021688
02/02/2017;0,008974
03/02/2017;0,018417
04/02/2017;-0,015372
05/02/2017;0,008389
06/02/2017;0,024
07/02/2017;0,005634
08/02/2017;-0,07527
09/02/2017;0,018872
10/02/2017;0,010678
11/02/2017;-0,011772
12/02/2017;-0,001165
13/02/2017;0,012956
14/02/2017;-0,000149
15/02/2017;0,023274
16/02/2017;0,016797
17/02/2017;0,002731
18/02/2017;-0,003227
19/02/2017;0,026967
20/02/2017;0,037763
21/02/2017;0,001277
22/02/2017;0,044896
23/02/2017;0,0039
24/02/2017;-0,0236
25/02/2017;0,019418
26/02/2017;0,014616
27/02/2017;0,00037
28/02/2017;0,027689
01/03/2017;0,026481
02/03/2017;0,021925
03/03/2017;-0,014901
04/03/2017;0,005443
05/03/2017;0,004544
06/03/2017;-0,035323
07/03/2017;-0,072075
08/03/2017;0,037947
09/03/2017;-0,068559
10/03/2017;0,058342
11/03/2017;0,038177
12/03/2017;0,01062
13/03/2017;0,00399
14/03/2017;0,008243
15/03/2017;-0,066422
16/03/2017;-0,090207
17/03/2017;-0,098293
18/03/2017;0,051386
19/03/2017;0,024068
20/03/2017;0,068064
21/03/2017;-0,070731
22/03/2017;-0,009318
23/03/2017;-0,096625
24/03/2017;0,027914
25/03/2017;0,003244
26/03/2017;0,075188
26/03/2017;-0,000689
27/03/2017;-0,002416
28/03/2017;-0,003837
29/03/2017;0,038928
30/03/2017;0,006475
31/03/2017;0,010332
01/04/2017;0,044694
02/04/2017;-0,005058
03/04/2017;-0,010477
04/04/2017;0,050758
05/04/2017;0,001505
06/04/2017;-0,00819
07/04/2017;0,019756
08/04/2017;0,001966
09/04/2017;0,01156
10/04/2017;-0,006748
11/04/2017;-0,03042
12/04/2017;0,00096
13/04/2017;-0,000289
14/04/2017;-0,000161
15/04/2017;0,014518
16/04/2017;0,010066
17/04/2017;0,007525
18/04/2017;0,018661
19/04/2017;0,009286
20/04/2017;-0,007027
21/04/2017;0,006626
22/04/2017;-0,000769
23/04/2017;0,01284
24/04/2017;0,0175
25/04/2017;0,035338
26/04/2017;-0,002471
27/04/2017;0,004996
28/04/2017;0,011629
29/04/2017;0,046183
30/04/2017;0,021051
01/05/2017;0,027032
02/05/2017;0,020791
03/05/2017;-0,005945
04/05/2017;0,02458
05/05/2017;0,00591
06/05/2017;0,068385
07/05/2017;0,01965
08/05/2017;0,031778
09/05/2017;0,037511
10/05/2017;-0,075856
11/05/2017;0,044846
12/05/2017;0,004983
13/05/2017;-0,036558
14/05/2017;0,011878
15/05/2017;0,040769
16/05/2017;0,04329
17/05/2017;0,042166
18/05/2017;0,039074
